id,first_name,last_name,sueldo
1,Rudd,Warry,40240.47
2,Augie,Tenwick,42720.43
3,Tobi,Mocker,42371.27
4,Franny,Dempster,49526.73
5,Elwyn,Annon,47883.88
6,Guy,Matejka,36115.86
7,Tonie,Blackstock,49712.29
8,Bonita,Lafond,49057.30
9,Joseito,Kelby,41760.14
10,Ellissa,Pelos,42357.80
11,Kelbee,Pischoff,40583.61
12,Zondra,Gillbee,41766.92
13,Milty,Garbutt,34224.17
14,Blisse,Tewkesbury.,49184.62
15,Dannye,Blowin,36653.77
16,Tiena,Duchasteau,41604.49
17,Merla,Benwell,48672.83
18,Beatrice,Phetteplace,39319.31
19,Greta,Gerg,43289.11
20,Timotheus,Gove,46588.18
21,Wileen,Ridsdole,49131.40
22,Donia,Wimmer,41613.57
23,Olly,Danforth,48967.36
24,Chelsey,Wrout,49502.86
25,Jaynell,Pachta,49153.16
26,Roz,Mallabone,46104.83
27,Farica,Sawyer,41577.46
28,Diego,Rudderham,38652.55
29,Randy,Libbis,38631.97
30,Dilly,Nuzzetti,47932.14
31,Joanna,Grimshaw,49380.40
32,Reed,Proswell,36110.75
33,Frankie,MacGovern,44320.70
34,Herve,Barok,45036.90
35,Tarra,McCague,48891.23
36,Cesar,Dhenin,44460.78
37,Agata,Creyke,43007.96
38,Helenelizabeth,Breewood,37662.07
39,Storm,Le Grys,48962.11
40,Hedvige,Riddles,43481.11
41,Mirella,Markushkin,38607.68
42,Bondie,Shepherdson,37401.79
43,Elwyn,Walklate,49433.71
44,Mead,Hallums,35143.87
45,Jean,Roseborough,49572.91
46,Rona,Smallbone,44904.97
47,Monroe,Carbin,39751.30
48,Arline,Roswarn,45644.47
49,Raven,Mewes,34207.47
50,Reed,Shields,47968.73
